Unnamed: 0,filename,address,Tỉnh/Thành phố,Quận/Huyện,Phường/Xã,Tên đường,Số nhà,Ghi chú
179,p141-l19_20250404-172843,"Đường Lê Hồng Phong, Phường 2, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,hong,Lê Hồng Phong,2,"Đường Lê Hồng P, Phường , , Tp Hồ Chí Minh"
180,p142-l15_20250404-172843,"Đường Nguyễn Văn Cừ, Phường 1, Quận 5, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 5,1,Nguyễn Văn Cừ,1,"Đường , Phường , , Tp Hồ Chí Minh"
181,p142-l19_20250404-172843,"189, Đường Cống Quỳnh, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 1,Nguyễn Cư Trinh,Cống Quỳnh,189,"Đường , Phường , , Tp Hồ Chí Minh"
182,p142-l8_20250404-172843,"Đường Chợ Lớn, Phường 11, Quận 6, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 6,11,Chợ Lớn,11,"Đường , Phường , , Tp Hồ Chí Minh"
183,p143-l0_20250404-172843,"32, Đường Cao Thắng, Phường 2, Quận 3, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 3,2,Cao Thắng,32,"3, Đường , Phường , , Tp Hồ Chí Minh"
184,p143-l18_20250404-172843,"Đường Trần Bình Trọng, Phường 2, Quận 5, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 5,2,Trần Bình Trọng,2,"Đường , Phường , , Tp Hồ Chí Minh"
185,p143-l2_20250404-172843,"Đường Kênh Tân Hóa, Phường 3, Quận 11, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 11,3,Kênh Tân Hóa,3,"Đường , Phường , , Tp Hồ Chí Minh"
186,p144-l1_20250404-172843,"Đường Sư Vạn Hạnh, Phường 10, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,10,Sư Vạn Hạnh,10,"Đường , Phường , , Tp Hồ Chí Minh"
187,p144-l5_20250404-172843,"Cầu Nguyễn Văn Cừ, Phường 1, Quận 4, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 4,1,,1,"Cầu Nguyễn Văn Cừ, Phường , , Tp Hồ Chí Minh"
188,p144-l7_20250404-172843,"Đường Kênh Tân Hóa, Phường 3, Quận 11, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 11,3,Kênh Tân Hóa,3,"Đường , Phường , , Tp Hồ Chí Minh"
189,p145-l10_20250404-172843,"Đường Bình Thới, Phường 10, Quận 11, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 11,10,Bình Thới,10,"Đường , Phường , , Tp Hồ Chí Minh"
190,p145-l16_20250404-172843,"Đường Nguyễn Văn Cừ, Phường 2, Quận 5, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 5,2,Nguyễn Văn Cừ,2,"Đường , Phường , , Tp Hồ Chí Minh"
191,p145-l18_20250404-172843,"Đường Nguyễn Văn Cừ, Phường 2, Quận 5, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 5,2,Nguyễn Văn Cừ,2,"Đường , Phường , , Tp Hồ Chí Minh"
192,p145-l19_20250404-172843,"Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 7,Tân Hưng,Trần Xuân Soạn,7,"Đường , Phường , , Tp Hồ Chí Minh"
193,p145-l5_20250404-172843,"Đường Vườn Lài, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 12,An Phú Đông,Vườn Lài,12,"Đường , Phường , , Tp Hồ Chí Minh"
194,p145-l6_20250404-172843,"178, Đường Cô Giang, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 1,Cô Giang,Cô Giang,178,"Đường , Phường , , Tp Hồ Chí Minh"
195,p145-l7_20250404-172843,"Đường Trường Sa, Phường 12, Quận 3, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 3,12,Trường Sa,12,"Đường , Phường , , Tp Hồ Chí Minh"
196,p145-l8_20250404-172843,"194 nguyễn thị mình khai , Đường Nguyễn Thị Minh Khai, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 3,Võ Thị Sáu,Nguyễn Thị Minh Khai,194,"nguyễn thị mình khai , Đường , Phường , , Tp Hồ Chí Minh"
197,p146-l15_20250404-172843,"Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 7,Tân Thuận Đông,Bùi Văn Ba,7,"Đường , Phường , , Tp Hồ Chí Minh"
198,p146-l19_20250404-172843,"Đường Phạm Văn Chí, Phường 8, Quận 6, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 6,hạm Văn Chí,Phạm Văn Chí,8,"Đường P, Phường , , Tp Hồ Chí Minh"
199,p147-l11_20250404-172843,"Đường 3 Tháng 2, Phường 6, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,6,3 Tháng 2,3,"Đường , Phường , , Tp Hồ Chí Minh"
200,p147-l3_20250404-172843,"Đường Huỳnh Tịnh Của, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 3,Võ Thị Sáu,Huỳnh Tịnh Của,3,"Đường , Phường , , Tp Hồ Chí Minh"
201,p147-l4_20250404-172843,"Đường Trần Quốc Toản, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 3,Võ Thị Sáu,Trần Quốc Toản,3,"Đường , Phường , , Tp Hồ Chí Minh"
202,p147-l9_20250404-172843,"Đường 3 Tháng 2, Phường 6, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,6,3 Tháng 2,3,"Đường , Phường , , Tp Hồ Chí Minh"
203,p148-l12_20250404-172843,"Hàm Nghi, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 1,Bến Nghé,,1,"Hàm Nghi, Phường , , Tp Hồ Chí Minh"
204,p148-l14_20250404-172843,"19, Đường Tân Thuận Tây, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 7,Bình Thuận,Tân Thuận Tây,19,"Đường , Phường , , Tp Hồ Chí Minh"
205,p148-l17_20250404-172843,"304, Đường Hoà Hưng, Phường 12, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,12,Hoà Hưng,304,"Đường , Phường , , Tp Hồ Chí Minh"
206,p148-l3_20250404-172843,"Phạm Hùng, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Huyện Bình Chánh,hạm Hùng,,,"P, Xã Bình Hưng, , Tp Hồ Chí Minh"
207,p149-l15_20250404-172843,"Đường Nguyễn Bỉnh Khiêm, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 1,Bến Nghé,Nguyễn Bỉnh Khiêm,1,"Đường , Phường , , Tp Hồ Chí Minh"
208,p149-l2_20250404-172843,"Đường Ðiện Biên Phủ, Phường 10, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,hủ,Ðiện Biên Phủ,10,"Đường Ðiện Biên P, Phường , , Tp Hồ Chí Minh"
209,p15-l9_20250404-160139,"Đường Nguyễn Tri Phương, Phường 9, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,hương,Nguyễn Tri Phương,9,"Đường Nguyễn Tri P, Phường , , Tp Hồ Chí Minh"
210,p150-l11_20250404-172843,"Đường Lê Văn Sỹ, Phường 10, Quận 3, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 3,10,Lê Văn Sỹ,10,"Đường , Phường , , Tp Hồ Chí Minh"
211,p150-l12_20250404-172843,"359, Đường Lê Văn Sỹ, Phường 12, Quận 3, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 3,12,Lê Văn Sỹ,359,"Đường , Phường , , Tp Hồ Chí Minh"
212,p150-l5_20250404-172843,"Đường Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 1,Nguyễn Cư Trinh,Nguyễn Văn Cừ,1,"Đường , Phường , , Tp Hồ Chí Minh"
213,p150-l7_20250404-172843,"Đường Cống Quỳnh, Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 1,Phạm Ngũ Lão,Cống Quỳnh,1,"Đường , Phường , , Tp Hồ Chí Minh"
214,p150-l8_20250404-172843,"Đường Lê Hồng Phong, Phường 10, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,hong,Lê Hồng Phong,10,"Đường Lê Hồng P, Phường , , Tp Hồ Chí Minh"
