filename,price,area,room_type,location,utilities,gender_requirement,contact,notes,bedrooms,bathrooms
p89-l2_20250404-160805,,,,,,không yêu cầu,,,,
p9-l0_20250404-160139,. k,2  m,phòng trọ,quận 7,wifi;máy lạnh;ban công;máy giặt;tủ lạnh,không yêu cầu,,gần khu chế xuất tân thuận,,
p9-l15_20250404-160139,4. k,28m2,,quận 4,ban công,không yêu cầu,,gần chợ cửa hàng,,
p9-l1_20250404-160139,", k",25m2,phòng trọ,,,không yêu cầu,,gần đh bách khoa ,,
p9-l3_20250404-160139,", tr",,,q10,máy lạnh;máy giặt;tủ lạnh,không yêu cầu,,,,
p9-l7_20250404-160139,"1,6 triệu",3 m,phòng ghép,quận 4,wifi;máy lạnh;máy giặt;tủ lạnh,không yêu cầu,,,,
p9-l9_20250404-160139,"1,6 triệu",,phòng trọ,q1,wifi;máy lạnh;máy giặt;tủ lạnh,không yêu cầu,,gần kcx tân thuận)  ktx ,,
p90-l0_20250404-160805,", k",10 m,,q8,,không yêu cầu,,gần đhyd,,
p90-l14_20250404-160805,,,,q6,ban công,không yêu cầu,,,,
p90-l15_20250404-160805,1tr,200m,phòng ghép,quận 5,wifi;máy lạnh;máy giặt;tủ lạnh,không yêu cầu,,,,
p90-l18_20250404-160805,,,,quận 3,ban công;máy giặt,nữ,,gần saigon square ( 5–7 phút ),,
p90-l9_20250404-160805,,,,,máy giặt,không yêu cầu,,gần chợ siêu thị;gần chợ bến thành,,
p91-l0_20250404-160805,6tr,30m2,,,máy lạnh;máy giặt;tủ lạnh,không yêu cầu,,,,
p91-l14_20250404-160805,"3,9tr",,,q3,máy lạnh;máy giặt;tủ lạnh,nam,,,,
p91-l4_20250404-160805,",k",,,,máy lạnh,không yêu cầu,,,,
p91-l5_20250404-160805,", k",10  m,,quận 11,máy lạnh;ban công;máy giặt,không yêu cầu,,gần đại học văn hiến  full nội thất: máy lạnh,,
p92-l1_20250404-160805,,,,,,không yêu cầu,,gần aeon bình tân  trống sẵn các phòng có gác cao đứng được  phòng trang bị full nội thất - có máy nước nóng luôn toà nhà sạch sẽ - an ninh cao có thang máy - bảo vệ đội ngũ quản lí chuyên nghiệp hệ thống pccc đầy đủ - tiện nghi  liên hệ xem phòng gọi trước 20p,,
p92-l5_20250404-160805,", k",24 m,,quận 10,wifi;máy lạnh;toilet riêng;máy giặt,nữ,,gần công viên lê thị riêng,,
p93-l0_20250404-160805,3tr,,,,máy giặt,không yêu cầu,,,,
p93-l10_20250404-160805,,,,quận 11,,không yêu cầu,,gần đại học văn hiến và đại học hồng bàng,,
p93-l12_20250404-160805,4k,,phòng trọ,q1,,không yêu cầu,,,,
p93-l13_20250404-160805,9.5 triệu,60m²,,quận 1,wifi;máy lạnh;ban công;máy giặt,không yêu cầu,,,,
p93-l14_20250404-160805,", k",,chung cư mini,quận 1,máy lạnh;ban công;máy giặt;tủ lạnh,không yêu cầu,,gần chợ;gần vinhomes ba son,1.0,
p93-l17_20250404-160805,", k",,,q10,máy lạnh,không yêu cầu,,,,
p93-l1_20250404-160805,,,,quận 11,,không yêu cầu,,,,
p93-l4_20250404-160805,4tr,,,q6,,không yêu cầu,,,,
p93-l6_20250404-160805,2tr,,,q8,,không yêu cầu,,,,
p93-l7_20250404-160805,5tr,,,q8,,không yêu cầu,,,,
p94-l12_20250404-160805,", k",,,q8,,nam,,,,
p94-l7_20250404-160805,", tr",,,quận 10,wifi;máy lạnh;toilet riêng;tủ lạnh,nữ,,gần các tuyến đường chính như cách mạng tháng 8 và tô hiến thành;gần trường đại học bách khoa - đhqg tp;gần công viên lê thị riêng,,
p95-l13_20250404-160805,", k",30m,,quận 3,wifi;máy giặt;tủ lạnh,không yêu cầu,,,,
p95-l17_20250404-160805,", tr",,,quận 3,máy lạnh,không yêu cầu,,gần chợ,,
p95-l18_20250404-160805,. k,,phòng trọ,quận 3,máy giặt,không yêu cầu,,,,
p95-l1_20250404-160805,7  k,,,quận 11,,không yêu cầu,,gần svđ phú thọ quận 10  gần trung tâm nhiều tiện ích ra vào vân tay giờ giấc tự do  an ninh cao 24/7  không chung chủ hỗ trợ qua xem và giữ phòng  ưu đãi giảm 300k khi thuê phòng bất kì qua tin này,,
