filename,price,area,room_type,location,utilities,gender_requirement,contact,notes,bedrooms,bathrooms
p3-l14_20250320-011409,,,chung cư mini,bình thạnh,ban công;máy giặt,không yêu cầu,,,,
p3-l15_20250320-011409,3tr,,phòng trọ,,máy lạnh,không yêu cầu,,,,
p3-l16_20250320-011409,3tr,,,gò vấp,máy lạnh;ban công;tủ lạnh,không yêu cầu,,,,
p3-l17_20250320-011409,", tr",35m²,chung cư mini,quận 10,ban công,không yêu cầu,,gần các tuyến đường lớn như đường 3 tháng 2,,
p3-l18_20250320-011409,5tr,,,gò vấp,máy lạnh;ban công;máy giặt;tủ lạnh,không yêu cầu,,,1.0,
p3-l19_20250320-011409,.k,20m²,chung cư mini,,,không yêu cầu,,,1.0,
p3-l1_20250320-011409,", k",30m²,,quận 10,,không yêu cầu,,gần chợ,,
p3-l2_20250320-011409,7 tr,30m²,,q8,máy giặt,không yêu cầu,,,,
p3-l3_20250320-011409,.k,,,q5,,không yêu cầu,,,,
p3-l4_20250320-011409,,,,quận 8,ban công,không yêu cầu,,,,
p3-l5_20250320-011409,", k",30m²,,q7,,không yêu cầu,,gần lotte mart q7,,
p3-l6_20250320-011409,"5,5 triệu",37m²,phòng trọ,bình thạnh,tủ lạnh,không yêu cầu,,,1.0,1.0
p3-l7_20250320-011409,5.5 tr,30m²,,bình thạnh,,không yêu cầu,,,,
p3-l8_20250320-011409,,35m²,,quận 5,,không yêu cầu,,gần đhkt,,
p3-l9_20250320-011409,3.5 triệu,1m,chung cư mini,quận 1,wifi;máy lạnh;máy giặt,không yêu cầu,,gần ngay spkt;gần các trục đường lớn đỗ xuân hợp,,
p4-l0_20250320-011409,3tr,,phòng trọ,gò vấp,máy lạnh;ban công,không yêu cầu,,,,
p4-l10_20250320-011409,7tr,30m²,,q5,ban công,không yêu cầu,,gần các trường ueh,,
p4-l11_20250320-011409,50k,30m²,,q8,,không yêu cầu,,,,
