,filename,address
189,p145-l10_20250404-172843,"Đường Bình Thới, Phường 10, Quận 11, Tp Hồ Chí Minh"
190,p145-l16_20250404-172843,"Đường Nguyễn Văn Cừ, Phường 2, Quận 5, Tp Hồ Chí Minh"
191,p145-l18_20250404-172843,"Đường Nguyễn Văn Cừ, Phường 2, Quận 5, Tp Hồ Chí Minh"
192,p145-l19_20250404-172843,"Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh"
193,p145-l5_20250404-172843,"Đường Vườn Lài, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh"
194,p145-l6_20250404-172843,"178, Đường Cô Giang, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh"
195,p145-l7_20250404-172843,"Đường Trường Sa, Phường 12, Quận 3, Tp Hồ Chí Minh"
196,p145-l8_20250404-172843,"194 nguyễn thị mình khai , Đường Nguyễn Thị Minh Khai, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh"
197,p146-l15_20250404-172843,"Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh"
198,p146-l19_20250404-172843,"Đường Phạm Văn Chí, Phường 8, Quận 6, Tp Hồ Chí Minh"
199,p147-l11_20250404-172843,"Đường 3 Tháng 2, Phường 6, Quận 10, Tp Hồ Chí Minh"
200,p147-l3_20250404-172843,"Đường Huỳnh Tịnh Của, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh"
201,p147-l4_20250404-172843,"Đường Trần Quốc Toản, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh"
202,p147-l9_20250404-172843,"Đường 3 Tháng 2, Phường 6, Quận 10, Tp Hồ Chí Minh"
203,p148-l12_20250404-172843,"Hàm Nghi, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh"
204,p148-l14_20250404-172843,"19, Đường Tân Thuận Tây, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh"
205,p148-l17_20250404-172843,"304, Đường Hoà Hưng, Phường 12, Quận 10, Tp Hồ Chí Minh"
206,p148-l3_20250404-172843,"Phạm Hùng, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh"
207,p149-l15_20250404-172843,"Đường Nguyễn Bỉnh Khiêm, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh"
208,p149-l2_20250404-172843,"Đường Ðiện Biên Phủ, Phường 10, Quận 10, Tp Hồ Chí Minh"
209,p15-l9_20250404-160139,"Đường Nguyễn Tri Phương, Phường 9, Quận 10, Tp Hồ Chí Minh"
210,p150-l11_20250404-172843,"Đường Lê Văn Sỹ, Phường 10, Quận 3, Tp Hồ Chí Minh"
211,p150-l12_20250404-172843,"359, Đường Lê Văn Sỹ, Phường 12, Quận 3, Tp Hồ Chí Minh"
212,p150-l5_20250404-172843,"Đường Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh"
213,p150-l7_20250404-172843,"Đường Cống Quỳnh, Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh"
214,p150-l8_20250404-172843,"Đường Lê Hồng Phong, Phường 10, Quận 10, Tp Hồ Chí Minh"
215,p151-l19_20250404-172843,"Đường An Dương Vương, Phường 9, Quận 10, Tp Hồ Chí Minh"
216,p151-l3_20250404-172843,"Đường Bến Vân Đồn, Phường 2, Quận 4, Tp Hồ Chí Minh"
217,p151-l5_20250404-172843,"Đường Hòa Bình, Phường 3, Quận 11, Tp Hồ Chí Minh"
218,p151-l6_20250404-172843,"106, Đường Nguyễn Phúc Nguyên, Phường 9, Quận 3, Tp Hồ Chí Minh"
219,p152-l16_20250404-172843,"Chợ Lớn, Phường 14, Quận 5, Tp Hồ Chí Minh"
220,p152-l19_20250404-172843,"Đường Hải Thượng Lãn Ông, Phường 10, Quận 5, Tp Hồ Chí Minh"
221,p152-l6_20250404-172843,"Đường Tô Ký, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh"
222,p153-l11_20250404-172843,"Đường Lê Hồng Phong, Phường 3, Quận 5, Tp Hồ Chí Minh"
223,p153-l16_20250404-172843,"6D, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh"
224,p153-l1_20250404-172843,"Đường Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh"
225,p153-l3_20250404-172843,"Đường Hai Bà Trưng, Phường Tân Định, Quận 1, Tp Hồ Chí Minh"
226,p153-l5_20250404-172843,"Đường Hồng Bàng, Phường 12, Quận 6, Tp Hồ Chí Minh"
227,p154-l0_20250404-172843,"Đường Lê Hồng Phong, Phường 2, Quận 10, Tp Hồ Chí Minh"
228,p154-l11_20250404-172843,"Đường Nguyễn Văn Cừ, Phường 1, Quận 5, Tp Hồ Chí Minh"
229,p154-l16_20250404-172843,"Đường Võ Thị Phải, Phường Thới An, Quận 12, Tp Hồ Chí Minh"
230,p154-l17_20250404-172843,"Đường Hậu Giang, Phường 10, Quận 6, Tp Hồ Chí Minh"
231,p154-l18_20250404-172843,"Đường Hải Thượng Lãn Ông, Phường 13, Quận 5, Tp Hồ Chí Minh"
232,p154-l8_20250404-172843,"Đường An Dương Vương, Phường 9, Quận 10, Tp Hồ Chí Minh"
233,p155-l16_20250404-172843,"Thiên Phước, Phường 14, Quận 10, Tp Hồ Chí Minh"
234,p155-l6_20250404-172843,"Cầu Chữ Y, Phường 1, Quận 5, Tp Hồ Chí Minh"
